customer_id,recency_score,frequency_score,monetary_score,rfm_score,segment
12347.0,5,4,5,14,Champions
12348.0,2,3,4,9,Need Attention
12349.0,4,1,4,9,Loyal Customers
12350.0,1,1,2,4,Hibernating
12352.0,3,4,4,11,Potential Loyalists
12353.0,1,1,1,3,Hibernating
12354.0,1,1,4,6,About to Sleep
12355.0,1,1,2,4,Hibernating
12356.0,4,3,5,12,Loyal Customers
12357.0,3,1,5,9,Cannot Lose
12358.0,5,2,4,11,Loyal Customers
12359.0,3,3,5,11,Potential Loyalists
12360.0,3,3,5,11,Potential Loyalists
12361.0,1,1,1,3,Hibernating
12362.0,5,4,5,14,Champions
12363.0,2,2,3,7,About to Sleep
12364.0,5,3,4,12,Loyal Customers
12365.0,1,1,2,4,Hibernating
12367.0,5,1,1,7,New Customers
12370.0,3,3,5,11,Potential Loyalists
12371.0,3,2,4,9,Cannot Lose
12372.0,3,3,4,10,Potential Loyalists
12373.0,1,1,2,4,Hibernating
12374.0,4,1,3,8,Cannot Lose
12375.0,5,2,2,9,New Customers
12377.0,1,2,4,7,About to Sleep
12378.0,2,1,5,8,About to Sleep
12379.0,2,2,3,7,About to Sleep
12380.0,4,3,5,12,Loyal Customers
12381.0,5,3,4,12,Loyal Customers
12383.0,1,3,4,8,Need Attention
12384.0,4,2,3,9,Cannot Lose
12386.0,1,2,2,5,Hibernating
12388.0,4,4,5,13,Champions
12390.0,2,1,3,6,About to Sleep
12391.0,4,1,2,7,New Customers
12393.0,2,3,4,9,Need Attention
12394.0,3,2,4,9,Cannot Lose
12395.0,4,5,5,14,Champions
12397.0,3,2,5,10,Cannot Lose
12398.0,3,1,4,8,Cannot Lose
12399.0,2,3,4,9,Need Attention
12401.0,1,1,1,3,Hibernating
12402.0,1,1,1,3,Hibernating
12403.0,3,1,2,6,Promising
12405.0,2,1,4,7,About to Sleep
12406.0,4,2,5,11,Loyal Customers
12407.0,3,3,4,10,Potential Loyalists
12408.0,4,3,5,12,Loyal Customers
12409.0,2,3,5,10,Need Attention
12410.0,1,2,3,6,About to Sleep
12412.0,2,3,4,9,Need Attention
12413.0,3,3,3,9,Potential Loyalists
12414.0,1,3,3,7,Need Attention
12415.0,4,5,5,14,Champions
12417.0,5,4,5,14,Champions
12418.0,2,1,3,6,About to Sleep
12420.0,3,1,3,7,Cannot Lose
12421.0,4,3,3,10,Potential Loyalists
12422.0,2,3,3,8,Need Attention
12423.0,5,4,4,13,Champions
12424.0,2,2,4,8,About to Sleep
12425.0,2,1,3,6,About to Sleep
12426.0,1,1,3,5,About to Sleep
12427.0,4,3,3,10,Potential Loyalists
12428.0,4,4,5,13,Champions
12429.0,5,3,5,13,Champions
12430.0,3,1,2,6,Promising
12431.0,3,5,5,13,Champions
12432.0,3,3,5,11,Potential Loyalists
12433.0,5,4,5,14,Champions
12434.0,2,2,3,7,About to Sleep
12435.0,2,2,5,9,About to Sleep
12436.0,2,1,3,6,About to Sleep
12437.0,5,5,5,15,Champions
12438.0,4,2,5,11,Loyal Customers
12441.0,1,1,1,3,Hibernating
12442.0,5,1,1,7,New Customers
12444.0,4,3,5,12,Loyal Customers
12445.0,4,1,1,6,New Customers
12446.0,3,1,4,8,Cannot Lose
12447.0,1,1,2,4,Hibernating
12448.0,3,1,2,6,Promising
12449.0,4,3,5,12,Loyal Customers
12450.0,2,2,1,5,Hibernating
12451.0,5,3,5,13,Champions
12452.0,4,2,2,8,New Customers
12453.0,2,1,3,6,About to Sleep
