product_id,description,unit_price,category,stock_code
P85123A,WHITE HANGING HEART T-LIGHT HOLDER,2.55,Decoration,85123A
P71053,WHITE METAL LANTERN,3.39,Other,71053
P84406B,CREAM CUPID HEARTS COAT HANGER,2.75,Kitchen,84406B
P84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3.39,Kitchen,84029G
P84029E,RED WOOLLY HOTTIE WHITE HEART.,3.39,Other,84029E
P22752,SET 7 BABUSHKA NESTING BOXES,7.65,Gift,22752
P21730,GLASS STAR FROSTED T-LIGHT HOLDER,4.25,Decoration,21730
P22633,HAND WARMER UNION JACK,1.85,Other,22633
P22632,HAND WARMER RED POLKA DOT,1.85,Other,22632
P84879,ASSORTED COLOUR BIRD ORNAMENT,1.69,Decoration,84879
P22745,POPPY'S PLAYHOUSE BEDROOM ,2.1,Toys,22745
P22748,POPPY'S PLAYHOUSE KITCHEN,2.1,Kitchen,22748
P22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,3.75,Other,22749
P22310,IVORY KNITTED MUG COSY ,1.65,Other,22310
P84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,4.25,Gift,84969
P22623,BOX OF VINTAGE JIGSAW BLOCKS ,4.95,Gift,22623
P22622,BOX OF VINTAGE ALPHABET BLOCKS,9.95,Gift,22622
P21754,HOME BUILDING BLOCK WORD,5.95,Other,21754
P21755,LOVE BUILDING BLOCK WORD,5.95,Other,21755
P21777,RECIPE BOX WITH METAL HEART,7.95,Gift,21777
P48187,DOORMAT NEW ENGLAND,7.95,Other,48187
P22960,JAM MAKING SET WITH JARS,4.25,Gift,22960
P22913,RED COAT RACK PARIS FASHION,4.95,Other,22913
P22912,YELLOW COAT RACK PARIS FASHION,4.95,Other,22912
P22914,BLUE COAT RACK PARIS FASHION,4.95,Other,22914
P21756,BATH BUILDING BLOCK WORD,5.95,Bathroom,21756
P22728,ALARM CLOCK BAKELIKE PINK,3.75,Kitchen,22728
P22727,ALARM CLOCK BAKELIKE RED ,3.75,Kitchen,22727
P22726,ALARM CLOCK BAKELIKE GREEN,3.75,Kitchen,22726
P21724,PANDA AND BUNNIES STICKER SHEET,0.85,Other,21724
